it_id,R,Vres,minP,runtime,Pcd_loss,N_muni,muni_skip,N_hulls,H0,H1,H2,H3,H4+,Hmulti,OS_tree,OS_tree%,OS_per_tree,OS_per_tree%
382,4.5,2.25,3,0.0,,29,2,47,26,16,2,3,0,5,2,0.07,1,
383,4.5,2.25,4,0.0,,29,2,46,25,16,2,3,0,5,2,0.07,1,
384,4.5,2.25,5,0.0,,29,2,45,24,16,2,3,0,5,2,0.07,1,
385,4.5,2.5,1,0.0,,29,2,47,26,15,3,3,0,6,3,0.11,1,
386,4.5,2.5,2,0.0,,29,2,45,25,14,3,3,0,6,3,0.11,1,
387,4.5,2.5,3,0.0,,29,2,44,24,14,3,3,0,6,3,0.11,1,
388,4.5,2.5,4,0.0,,29,2,44,24,14,3,3,0,6,3,0.11,1,
389,4.5,2.5,5,0.0,,29,2,44,24,14,3,3,0,6,3,0.11,1,
390,4.5,2.75,1,0.0,,29,2,47,27,16,2,1,1,4,3,0.11,1,
391,4.5,2.75,2,0.0,,29,2,46,26,16,2,1,1,4,2,0.07,1,
392,4.5,2.75,3,0.0,,29,2,45,26,16,0,1,2,3,2,0.07,1,
393,4.5,2.75,4,0.0,,29,2,45,26,16,0,1,2,3,2,0.07,1,
394,4.5,2.75,5,0.0,,29,2,44,25,16,0,1,2,3,2,0.07,1,
395,4.5,3.0,1,0.0,,29,2,47,23,20,3,1,0,4,3,0.11,1,
396,4.5,3.0,2,0.0,,29,2,45,23,17,4,1,0,5,3,0.11,1,
397,4.5,3.0,3,0.0,,29,2,44,22,17,4,1,0,5,1,0.04,1,
398,4.5,3.0,4,0.0,,29,2,44,22,17,4,1,0,5,1,0.04,1,
399,4.5,3.0,5,0.0,,29,2,43,21,17,4,1,0,5,1,0.04,1,
405,5.0,1.25,1,0.0,,29,2,52,31,16,2,3,0,5,3,0.11,1,
406,5.0,1.25,2,0.0,,29,2,47,26,16,2,3,0,5,2,0.07,1,
407,5.0,1.25,3,0.0,,29,2,46,25,16,2,3,0,5,2,0.07,1,
408,5.0,1.25,4,0.0,,29,2,45,24,16,2,3,0,5,2,0.07,1,
409,5.0,1.25,5,0.0,,29,2,45,24,16,2,3,0,5,2,0.07,1,
410,5.0,1.0,1,0.0,,29,2,48,25,18,2,3,0,5,2,0.07,1,
411,5.0,1.0,2,0.0,,29,2,47,25,17,2,3,0,5,2,0.07,1,
412,5.0,1.0,3,0.0,,29,2,47,25,17,2,3,0,5,2,0.07,1,
413,5.0,1.0,4,0.0,,29,2,46,25,16,2,3,0,5,2,0.07,1,
414,5.0,1.0,5,0.0,,29,2,45,24,16,2,3,0,5,2,0.07,1,
415,5.0,5.0,1,0.0,,29,2,39,23,7,6,3,0,9,1,0.04,1,
416,5.0,5.0,2,0.0,,29,2,38,22,7,6,3,0,9,1,0.04,1,
417,5.0,5.0,3,0.0,,29,2,38,22,7,6,3,0,9,1,0.04,1,
418,5.0,5.0,4,0.0,,29,2,38,22,7,6,3,0,9,1,0.04,1,
419,5.0,5.0,5,0.0,,29,2,38,22,7,6,3,0,9,1,0.04,1,
420,5.0,1.75,1,0.0,,29,2,44,24,16,1,2,1,4,3,0.11,1,
421,5.0,1.75,2,0.0,,29,2,44,24,16,1,2,1,4,3,0.11,1,
422,5.0,1.75,3,0.0,,29,2,43,24,16,1,0,2,3,3,0.11,1,
423,5.0,1.75,4,0.0,,29,2,43,24,16,1,0,2,3,3,0.11,1,
424,5.0,1.75,5,0.0,,29,2,41,23,14,2,0,2,4,3,0.11,1,
425,5.0,2.0,1,0.0,,29,2,45,25,14,3,3,0,6,4,0.15,1,
426,5.0,2.0,2,0.0,,29,2,44,25,12,4,3,0,7,4,0.15,1,
427,5.0,2.0,3,0.0,,29,2,43,24,12,4,3,0,7,2,0.07,1,
428,5.0,2.0,4,0.0,,29,2,43,24,12,4,3,0,7,2,0.07,1,
429,5.0,2.0,5,0.0,,29,2,42,23,12,4,3,0,7,2,0.07,1,
430,5.0,2.25,1,0.0,,29,2,49,27,17,2,3,0,5,2,0.07,1,
431,5.0,2.25,2,0.0,,29,2,46,26,14,3,3,0,6,2,0.07,1,
432,5.0,2.25,3,0.0,,29,2,45,25,14,3,3,0,6,2,0.07,1,
433,5.0,2.25,4,0.0,,29,2,44,24,14,3,3,0,6,2,0.07,1,
434,5.0,2.25,5,0.0,,29,2,43,23,14,3,3,0,6,2,0.07,1,
435,5.0,2.5,1,0.0,,29,2,43,24,12,4,3,0,7,1,0.04,1,
436,5.0,2.5,2,0.0,,29,2,42,23,12,4,3,0,7,1,0.04,1,
437,5.0,2.5,3,0.0,,29,2,41,22,12,4,3,0,7,1,0.04,1,
438,5.0,2.5,4,0.0,,29,2,41,22,12,4,3,0,7,1,0.04,1,
439,5.0,2.5,5,0.0,,29,2,41,22,12,4,3,0,7,1,0.04,1,
440,5.0,2.75,1,0.0,,29,2,44,24,16,1,2,1,4,3,0.11,1,
441,5.0,2.75,2,0.0,,29,2,43,23,16,1,2,1,4,2,0.07,1,
442,5.0,2.75,3,0.0,,29,2,42,23,16,0,1,2,3,2,0.07,1,
443,5.0,2.75,4,0.0,,29,2,42,23,16,0,1,2,3,2,0.07,1,
444,5.0,2.75,5,0.0,,29,2,41,22,16,0,1,2,3,2,0.07,1,
445,5.0,3.0,1,0.0,,29,2,45,21,20,3,1,0,4,3,0.11,1,
446,5.0,3.0,2,0.0,,29,2,43,21,17,4,1,0,5,3,0.11,1,
447,5.0,3.0,3,0.0,,29,2,41,19,17,4,1,0,5,1,0.04,1,
448,5.0,3.0,4,0.0,,29,2,41,19,17,4,1,0,5,1,0.04,1,
449,5,3,5,0.0,,29,2,40,18,17,4,1,0,5,1,0.04,1
